sex,weight,height,reported_weight,reported_height
M,77,182,77.0,180.0
F,58,161,51.0,159.0
F,53,161,54.0,158.0
M,68,177,70.0,175.0
F,59,157,59.0,155.0
M,76,170,76.0,165.0
M,76,167,77.0,165.0
M,69,186,73.0,180.0
M,71,178,71.0,175.0
M,65,171,64.0,170.0
M,70,175,75.0,174.0
F,166,57,56.0,163.0
F,51,161,52.0,158.0
F,64,168,64.0,165.0
F,52,163,57.0,160.0
F,65,166,66.0,165.0
M,92,187,101.0,185.0
F,62,168,62.0,165.0
M,76,197,75.0,200.0
F,61,175,61.0,171.0
M,119,180,124.0,178.0
F,61,170,61.0,170.0
M,65,175,66.0,173.0
M,66,173,70.0,170.0
F,54,171,59.0,168.0
F,50,166,50.0,165.0
F,63,169,61.0,168.0
F,58,166,60.0,160.0
F,39,157,41.0,153.0
M,101,183,100.0,180.0
F,71,166,71.0,165.0
M,75,178,73.0,175.0
M,79,173,76.0,173.0
F,52,164,52.0,161.0
F,68,169,63.0,170.0
M,64,176,65.0,175.0
F,56,166,54.0,165.0
M,69,174,69.0,171.0
M,88,178,86.0,175.0
M,65,187,67.0,188.0
F,54,164,53.0,160.0
M,80,178,80.0,178.0
F,63,163,59.0,159.0
M,78,183,80.0,180.0
M,85,179,82.0,175.0
F,54,160,55.0,158.0
M,73,180,,
F,49,161,,
F,54,174,56.0,173.0
F,75,162,75.0,158.0
M,82,182,85.0,183.0
F,56,165,57.0,163.0
M,74,169,73.0,170.0
M,102,185,107.0,185.0
M,64,177,,
M,65,176,64.0,172.0
F,66,170,65.0,
M,73,183,74.0,180.0
M,75,172,70.0,169.0
M,57,173,58.0,170.0
M,68,165,69.0,165.0
M,71,177,71.0,170.0
M,71,180,76.0,175.0
F,78,173,75.0,169.0
M,97,189,98.0,185.0
F,60,162,59.0,160.0
F,64,165,63.0,163.0
F,64,164,62.0,161.0
F,52,158,51.0,155.0
M,80,178,76.0,175.0
F,62,175,61.0,171.0
M,66,173,66.0,175.0
F,55,165,54.0,163.0
F,56,163,57.0,159.0
F,50,166,50.0,161.0
F,50,171,,
F,50,160,55.0,150.0
F,63,160,64.0,158.0
M,69,182,70.0,180.0
M,69,183,70.0,183.0
F,61,165,60.0,163.0
M,55,168,56.0,170.0
F,53,169,52.0,175.0
F,60,167,55.0,163.0
F,56,170,56.0,170.0
M,59,182,61.0,183.0
M,62,178,66.0,175.0
F,53,165,53.0,165.0
F,57,163,59.0,160.0
F,57,162,56.0,160.0
M,70,173,68.0,170.0
F,56,161,56.0,161.0
M,84,184,86.0,183.0
M,69,180,71.0,180.0
M,88,189,87.0,185.0
F,56,165,57.0,160.0
M,103,185,101.0,182.0
F,50,169,50.0,165.0
F,52,159,52.0,153.0
F,55,155,,154.0
F,55,164,55.0,163.0
M,63,178,63.0,175.0
F,47,163,47.0,160.0
F,45,163,45.0,160.0
F,62,175,63.0,173.0
F,53,164,51.0,160.0
F,52,152,51.0,150.0
F,57,167,55.0,164.0
F,64,166,64.0,165.0
F,59,166,55.0,163.0
M,84,183,90.0,183.0
M,79,179,79.0,171.0
F,55,174,57.0,171.0
M,67,179,67.0,179.0
F,76,167,77.0,165.0
F,62,168,62.0,163.0
M,83,184,83.0,181.0
M,96,184,94.0,183.0
M,75,169,76.0,165.0
M,65,178,66.0,178.0
M,78,178,77.0,175.0
M,69,167,73.0,165.0
F,68,178,68.0,175.0
F,55,165,55.0,163.0
M,67,179,,
F,52,169,56.0,
F,47,153,,154.0
F,45,157,45.0,153.0
F,68,171,68.0,169.0
F,44,157,44.0,155.0
F,62,166,61.0,163.0
M,87,185,89.0,185.0
F,56,160,53.0,158.0
F,50,148,47.0,148.0
M,83,177,84.0,175.0
F,53,162,53.0,160.0
F,64,172,62.0,168.0
F,62,167,,
M,90,188,91.0,185.0
M,85,191,83.0,188.0
M,66,175,68.0,175.0
F,52,163,53.0,160.0
F,53,165,55.0,163.0
F,54,176,55.0,176.0
F,64,171,66.0,171.0
F,55,160,55.0,155.0
F,55,165,55.0,165.0
F,59,157,55.0,158.0
F,70,173,67.0,170.0
M,88,184,86.0,183.0
F,57,168,58.0,165.0
F,47,162,47.0,160.0
F,47,150,45.0,152.0
F,55,162,,
F,48,163,44.0,160.0
M,54,169,58.0,165.0
M,69,172,68.0,174.0
F,59,170,,
F,58,169,,
F,57,167,56.0,165.0
F,51,163,50.0,160.0
F,54,161,54.0,160.0
F,53,162,52.0,158.0
F,59,172,58.0,171.0
M,56,163,58.0,161.0
F,59,159,59.0,155.0
F,63,170,62.0,168.0
F,66,166,66.0,165.0
M,96,191,95.0,188.0
F,53,158,50.0,155.0
M,76,169,75.0,165.0
F,54,163,,
M,61,170,61.0,170.0
M,82,176,,
M,62,168,64.0,168.0
M,71,178,68.0,178.0
F,60,174,,
M,66,170,67.0,165.0
M,81,178,82.0,175.0
M,68,174,68.0,173.0
M,80,176,78.0,175.0
F,43,154,,
M,82,181,,
F,63,165,59.0,160.0
M,70,173,70.0,173.0
F,56,162,56.0,160.0
F,60,172,55.0,168.0
F,58,169,54.0,166.0
M,76,183,75.0,180.0
F,50,158,49.0,155.0
M,88,185,93.0,188.0
M,89,173,86.0,173.0
F,59,164,59.0,165.0
F,51,156,51.0,158.0
F,62,164,61.0,161.0
M,74,175,71.0,175.0
M,83,180,80.0,180.0
M,81,175,,
M,90,181,91.0,178.0
M,79,177,81.0,178.0
